SubHead,kei.te,AE,Key,Diff,DiffAbs,Count
whakakawa,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakakawe,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakakeokeo,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakakite,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakakoi,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakakopi,-0.000663557980192558,0.002586109998849323,0.001922552018656765,-0.0032496679790418813,0.0032496679790418813,11.0
whakakore,-0.0005232252619233966,0.0015293894300517535,0.0010061641681283569,-0.0020526146919751503,0.0020526146919751503,13.0
whakakoretake,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,10.0
whakakorikori,0.0007016074949122848,-0.0003418002292229524,0.0003598072656893324,0.0010434077241352371,0.0010434077241352371,9.0
whakakotahi,2.5366343146484508e-05,-2.471530582238272e-05,6.510373241017876e-07,5.008164896886723e-05,5.008164896886723e-05,14.0
whakakotiti,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakakāhore,0.0007016074949122848,-0.0003418002292229524,0.0003598072656893324,0.0010434077241352371,0.0010434077241352371,10.0
whakakātu,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakakīkī,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakamahana,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakamahi,2.5366343146484508e-05,-2.471530582238272e-05,6.510373241017876e-07,5.008164896886723e-05,5.008164896886723e-05,19.0
whakamana,-0.0008613458378062968,0.005035434317974073,0.0041740884801677765,-0.00589678015578037,0.00589678015578037,20.0
whakamanatanga,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakamanuhiri,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,9.0
whakamaoa,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakamataku,1.2683171573242254e-05,-1.235765291119136e-05,3.255186620508938e-07,2.5040824484433614e-05,2.5040824484433614e-05,9.0
whakamau,-0.0003254374043096579,0.0006341698468011394,0.0003087324424914815,-0.0009596072511107972,0.0009596072511107972,10.0
