SubHead,AVP,APV,Key,Diff,DiffAbs,Count
whakaari,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakaaro,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whakaata,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakaatu,-0.002402872160473764,0.004388487831636359,0.0019856156711625947,-0.006791359992110123,0.006791359992110123,14.0
whakahaere,-0.001515720977219757,0.0016148057526988063,9.908477547904918e-05,-0.0031305267299185633,0.0031305267299185633,64.0
whakahau,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakahoki,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
whakahuihui,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakahē,-0.0018793220360484293,0.007722678530647098,0.0058433564945986685,-0.009602000566695527,0.009602000566695527,8.0
whakaingoa,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whakairi,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
whakairo,-0.001915167528054451,0.003934989019390566,0.0020198214913361152,-0.005850156547445017,0.005850156547445017,10.0
whakaiti,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakakamakama,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakakapi,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakakawe,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whakakopi,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
whakakore,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
whakakotahi,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakamahi,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakamana,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
whakamutu,0.011785544575434142,-0.002690567553347442,0.0090949770220867,0.014476112128781584,0.014476112128781584,14.0
whakamāmā,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakamāori,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whakamārama,-0.003830335056108902,0.007869978038781133,0.0040396429826722305,-0.011700313094890034,0.011700313094890034,20.0
whakamātautau,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakaoho,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakaora,-0.0012552043182459146,0.0017193326909306517,0.0004641283726847371,-0.0029745370091765664,0.0029745370091765664,12.0
whakaoti,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
whakapahū,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whakapai,0.004000351392512274,-0.0021918136591396937,0.00180853773337258,0.006192165051651967,0.006192165051651967,14.0
whakapau,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whakapiri,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whakapuaki,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakaputa,0.018774507013186455,-0.0032145786142796476,0.015559928398906808,0.021989085627466102,0.021989085627466102,18.0
whakarahi,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakarangatira,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whakararata,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whakareka,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whakarite,0.0022803794394491944,-0.0017849027722776935,0.0004954766671715009,0.004065282211726888,0.004065282211726888,22.0
whakarāhui,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
whakarāpopoto,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whakarārangi,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whakatakoto,0.03391486312703369,-0.006194044218950658,0.027720818908083034,0.04010890734598435,0.04010890734598435,34.0
whakatangi,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
whakatapu,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
whakatatū,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
whakatau,0.014235313336467664,-0.004333112984830473,0.009902200351637191,0.018568426321298136,0.018568426321298136,22.0
whakatere,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
whakatika,-0.0012552043182459146,0.0017193326909306517,0.0004641283726847371,-0.0029745370091765664,0.0029745370091765664,12.0
whakatikatika,0.002013347330423596,-0.0013789045468839201,0.0006344427835396759,0.0033922518773075163,0.0033922518773075163,12.0
