Predecessor,mā,nā,Key,Diff,DiffAbs,Count
tuahine,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
tuku,0.046295014065828796,-0.006801192542598962,0.03949382152322983,0.05309620660842776,0.05309620660842776,16.0
ture,-0.00019292311753383527,0.00019839611377592988,5.472996242094616e-06,-0.0003913192313097652,0.0003913192313097652,8.0
tāne,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
tāngata,-0.005646247463712091,0.029032123483626007,0.023385876019913918,-0.0346783709473381,0.0346783709473381,12.0
tāra,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
tātou,0.01873545529762048,-0.0048167393938917885,0.01391871590372869,0.023552194691512266,0.023552194691512266,10.0
tēnei,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
tēnā,-0.00019292311753383527,0.00019839611377592988,5.472996242094616e-06,-0.0003913192313097652,0.0003913192313097652,8.0
tētahi,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
tīmata,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
tūpuna,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
wahine,-0.006274942487139521,0.03871773023979704,0.03244278775265752,-0.044992672726936564,0.044992672726936564,14.0
waiho,0.13862463874447262,-0.009503816840637603,0.129120821903835,0.14812845558511023,0.14812845558511023,32.0
waka,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
whai,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
whakaae,0.03649211621763411,-0.006254558926190245,0.030237557291443867,0.04274667514382435,0.04274667514382435,14.0
whakaatanga,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
whakahoki,0.011075570034059002,-0.003796590200800367,0.007278979833258635,0.014872160234859369,0.014872160234859369,8.0
whakairo,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
