SubHead,True,False,Key,Diff,DiffAbs,Count
tohi,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tohu,-0.00150349704790054,0.0019976164643458845,0.0004941194164453445,-0.0035011135122464242,0.0035011135122464242,14.0
tohutohu,-0.00243254338681258,0.004847986292874281,0.0024154429060617008,-0.007280529679686861,0.007280529679686861,12.0
tono,3.726063913839971e-05,-3.712967028378319e-05,1.309688546165163e-07,7.43903094221829e-05,7.43903094221829e-05,24.0
tonotono,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tuarua,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tuhi,-0.0019313777041790666,0.005773767091052008,0.0038423893868729415,-0.007705144795231074,0.007705144795231074,8.0
tuhituhi,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tuitui,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tuki,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tuku,-0.00283558361699884,0.004238425072508812,0.001402841455509972,-0.007074008689507652,0.007074008689507652,20.0
turaki,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
tuwhera,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tā,-0.00141779180849942,0.002119212536254406,0.000701420727754986,-0.003537004344753826,0.003537004344753826,10.0
tākiri,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tārai,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tēnei,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tētahi,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
tīmata,3.726063913839971e-05,-3.712967028378319e-05,1.309688546165163e-07,7.43903094221829e-05,7.43903094221829e-05,24.0
tō,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
tū,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
tūkino,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
tūtaki,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
utu,-0.003219645860584043,0.008020822508572728,0.004801176647988684,-0.011240468369156771,0.011240468369156771,14.0
waiata,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
waihanga,-0.0024387534933356463,0.009720725699271085,0.007281972205935438,-0.012159479192606732,0.012159479192606732,10.0
waiho,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
wawata,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
wero,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whai,-0.00141779180849942,0.002119212536254406,0.000701420727754986,-0.003537004344753826,0.003537004344753826,10.0
whaka-,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakaae,1.8630319569199854e-05,-1.8564835141891596e-05,6.548442730825815e-08,3.719515471109145e-05,3.719515471109145e-05,12.0
whakaahua,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakaako,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
whakaara,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
whakaari,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakaatu,1.8630319569199854e-05,-1.8564835141891596e-05,6.548442730825815e-08,3.719515471109145e-05,3.719515471109145e-05,12.0
whakahaere,-0.00851390185384403,0.016967952025059983,0.008454050171215954,-0.02548185387890401,0.02548185387890401,42.0
whakahau,0.002054343582718587,-0.0015353420185431968,0.0005190015641753903,0.003589685601261784,0.003589685601261784,14.0
whakahoki,0.0021639483518875306,-0.0014375614710254595,0.0007263868808620711,0.00360150982291299,0.00360150982291299,10.0
whakahuihui,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakahē,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakairi,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakairo,0.004327896703775061,-0.002875122942050919,0.0014527737617241422,0.00720301964582598,0.00720301964582598,20.0
whakakaingākau,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakakeokeo,0.0058313937516756,-0.0019369655871119304,0.0038944281645636697,0.00776835933878753,0.00776835933878753,8.0
whakakite,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakakopi,0.0021639483518875306,-0.0014375614710254595,0.0007263868808620711,0.00360150982291299,0.00360150982291299,10.0
whakakore,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakakotahi,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakamahi,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakamana,0.0049147676258096944,-0.0024487462599596626,0.002466021365850032,0.0073635138857693575,0.0073635138857693575,12.0
whakamau,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakamutu,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
whakamāori,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakamārama,1.8630319569199854e-05,-1.8564835141891596e-05,6.548442730825815e-08,3.719515471109145e-05,3.719515471109145e-05,12.0
whakangāwari,1.2420213046133526e-05,-1.2376556761261352e-05,4.3656284872174925e-08,2.4796769807394876e-05,2.4796769807394876e-05,8.0
whakanui,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakaora,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakaoti,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakapahū,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakapai,0.009804694825527122,-0.002442557981579032,0.007362136843948089,0.012247252807106153,0.012247252807106153,10.0
whakapau,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakapuaki,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakapuare,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakaputa,-0.00150349704790054,0.0019976164643458845,0.0004941194164453445,-0.0035011135122464242,0.0035011135122464242,14.0
whakarahi,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakarangatira,-0.00141779180849942,0.002119212536254406,0.000701420727754986,-0.003537004344753826,0.003537004344753826,10.0
whakararata,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakarei,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakareka,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakarite,0.0049147676258096944,-0.0024487462599596626,0.002466021365850032,0.0073635138857693575,0.0073635138857693575,12.0
whakariterite,0.0024573838129048472,-0.0012243731299798313,0.001233010682925016,0.0036817569428846788,0.0036817569428846788,6.0
whakarāhui,-0.00121627169340629,0.0024239931464371403,0.0012077214530308504,-0.0036402648398434303,0.0036402648398434303,6.0
whakatakoto,0.004327896703775061,-0.002875122942050919,0.0014527737617241422,0.00720301964582598,0.00720301964582598,20.0
