Head,mā,nā,Key,Diff,DiffAbs,Count
tauhou,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
tauira,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
tauiwi,0.003493645327014397,-0.0018791577137728954,0.0016144876132415016,0.005372803040787293,0.005372803040787293,18.0
taunga,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
taura,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
tere-moana,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
terry,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
tianara,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
tiapanihi,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
tiati,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
tika,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
tikanga,-0.0001371364037838308,0.00014752552528260585,1.0389121498775042e-05,-0.00028466192906643665,0.00028466192906643665,8.0
timoti,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
tipuna,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
tohutohu,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
tokoono,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
tonu,-0.0001371364037838308,0.00014752552528260585,1.0389121498775042e-05,-0.00028466192906643665,0.00028466192906643665,8.0
toro,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
toru,0.009683010333595298,-0.0017360952870840052,0.007946915046511292,0.011419105620679304,0.011419105620679304,14.0
tuakana,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
ture,0.0023290968846762647,-0.00125277180918193,0.0010763250754943347,0.0035818686938581946,0.0035818686938581946,12.0
tā-roa,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
tāhuhu,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
tāina,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
