Head,mā,nā,AE
ara,0.0018779342723004694,0.00101010101010101,0.00145985401459854
aroha,0.0009389671361502347,0.00202020202020202,0.00145985401459854
atu,0.0018779342723004694,0.00101010101010101,0.00145985401459854
bill,0.0009389671361502347,0.00202020202020202,0.00145985401459854
briony,0.0009389671361502347,0.00202020202020202,0.00145985401459854
esther,0.0009389671361502347,0.00202020202020202,0.00145985401459854
gary,0.0018779342723004694,0.00101010101010101,0.00145985401459854
gerry,0.0009389671361502347,0.00202020202020202,0.00145985401459854
hākari,0.0018779342723004694,0.00101010101010101,0.00145985401459854
hainamana,0.0018779342723004694,0.00101010101010101,0.00145985401459854
hau,0.0018779342723004694,0.00101010101010101,0.00145985401459854
heamana,0.0009389671361502347,0.00202020202020202,0.00145985401459854
hepi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
hiku-rangi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
hoa,0.0018779342723004694,0.00101010101010101,0.00145985401459854
hoani,0.0009389671361502347,0.00202020202020202,0.00145985401459854
hoko,0.0009389671361502347,0.00202020202020202,0.00145985401459854
horo,0.0009389671361502347,0.00202020202020202,0.00145985401459854
hotu,0.0009389671361502347,0.00202020202020202,0.00145985401459854
huarahi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
maaka,0.0009389671361502347,0.00202020202020202,0.00145985401459854
manatū,0.0018779342723004694,0.00101010101010101,0.00145985401459854
reimana,0.0018779342723004694,0.00101010101010101,0.00145985401459854
maree,0.0018779342723004694,0.00101010101010101,0.00145985401459854
paki,0.0009389671361502347,0.00202020202020202,0.00145985401459854
papa,0.0018779342723004694,0.00101010101010101,0.00145985401459854
pene,0.0009389671361502347,0.00202020202020202,0.00145985401459854
penehīni,0.0018779342723004694,0.00101010101010101,0.00145985401459854
pepa,0.0018779342723004694,0.00101010101010101,0.00145985401459854
ahakoa,0.0009389671361502347,0.00202020202020202,0.00145985401459854
piri,0.0009389671361502347,0.00202020202020202,0.00145985401459854
ppta,0.0018779342723004694,0.00101010101010101,0.00145985401459854
puhi,0.0009389671361502347,0.00202020202020202,0.00145985401459854
puku,0.0018779342723004694,0.00101010101010101,0.00145985401459854
puni,0.0018779342723004694,0.00101010101010101,0.00145985401459854
putiputi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
pā,0.0009389671361502347,0.00202020202020202,0.00145985401459854
pānui,0.0009389671361502347,0.00202020202020202,0.00145985401459854
pēnei,0.0009389671361502347,0.00202020202020202,0.00145985401459854
pōtiki,0.0009389671361502347,0.00202020202020202,0.00145985401459854
pū,0.0009389671361502347,0.00202020202020202,0.00145985401459854
pūrewa,0.0009389671361502347,0.00202020202020202,0.00145985401459854
raharuhi,0.0009389671361502347,0.00202020202020202,0.00145985401459854
rahi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
rangahau,0.0018779342723004694,0.00101010101010101,0.00145985401459854
rangi-pare,0.0009389671361502347,0.00202020202020202,0.00145985401459854
raruraru,0.0018779342723004694,0.00101010101010101,0.00145985401459854
raukura,0.0018779342723004694,0.00101010101010101,0.00145985401459854
ray,0.0009389671361502347,0.00202020202020202,0.00145985401459854
pakeke,0.0018779342723004694,0.00101010101010101,0.00145985401459854
ohu,0.0009389671361502347,0.00202020202020202,0.00145985401459854
nāna,0.0009389671361502347,0.00202020202020202,0.00145985401459854
māhita,0.0018779342723004694,0.00101010101010101,0.00145985401459854
mary,0.0009389671361502347,0.00202020202020202,0.00145985401459854
matawaka,0.0018779342723004694,0.00101010101010101,0.00145985401459854
matua-te-mana,0.0009389671361502347,0.00202020202020202,0.00145985401459854
maunga,0.0018779342723004694,0.00101010101010101,0.00145985401459854
mema,0.0018779342723004694,0.00101010101010101,0.00145985401459854
mere,0.0009389671361502347,0.00202020202020202,0.00145985401459854
mihinare,0.0009389671361502347,0.00202020202020202,0.00145985401459854
minenga,0.0009389671361502347,0.00202020202020202,0.00145985401459854
motu,0.0009389671361502347,0.00202020202020202,0.00145985401459854
moutere,0.0009389671361502347,0.00202020202020202,0.00145985401459854
mui,0.0009389671361502347,0.00202020202020202,0.00145985401459854
mānuka,0.0018779342723004694,0.00101010101010101,0.00145985401459854
nāhi,0.0018779342723004694,0.00101010101010101,0.00145985401459854
māreikura,0.0018779342723004694,0.00101010101010101,0.00145985401459854
mātauranga,0.0018779342723004694,0.00101010101010101,0.00145985401459854
māui,0.0009389671361502347,0.00202020202020202,0.00145985401459854
māui-tikitiki-ā-taranga,0.0009389671361502347,0.00202020202020202,0.00145985401459854
